feedback,latent_agent,subject,latent_prob,mine_prob_win_left,mine_prob_win_right,latent_guess,block_num,trial_num,condition,subj_choice
1,0,24019,0.3,0.7,0.3,0,1,1,1,1
1,0,24019,0.3,0.7,0.3,0,1,2,1,1
1,0,24019,0.3,0.7,0.3,0,1,3,1,1
1,0,24019,0.3,0.7,0.3,0,1,4,1,1
0,1,24019,0.3,0.7,0.3,1,1,5,1,1
0,1,24019,0.3,0.7,0.3,0,1,6,1,1
0,0,24019,0.3,0.7,0.3,1,1,7,1,2
0,0,24019,0.3,0.7,0.3,1,1,8,1,1
1,0,24019,0.3,0.7,0.3,1,1,9,1,1
1,0,24019,0.3,0.7,0.3,0,1,10,1,1
1,0,24019,0.3,0.7,0.3,0,1,11,1,1
0,0,24019,0.3,0.7,0.3,1,1,12,1,1
0,1,24019,0.3,0.7,0.3,0,1,13,1,1
1,0,24019,0.3,0.7,0.3,1,1,14,1,1
0,1,24019,0.3,0.7,0.3,0,1,15,1,1
0,0,24019,0.3,0.7,0.3,1,1,16,1,1
0,1,24019,0.3,0.7,0.3,1,1,17,1,1
1,0,24019,0.3,0.7,0.3,0,1,18,1,1
0,1,24019,0.3,0.7,0.3,1,1,19,1,1
0,0,24019,0.3,0.7,0.3,1,1,20,1,1
1,0,24019,0.3,0.7,0.3,0,1,21,1,1
1,0,24019,0.3,0.7,0.3,0,1,22,1,1
1,0,24019,0.3,0.7,0.3,0,1,23,1,1
0,0,24019,0.3,0.7,0.3,1,1,24,1,1
0,1,24019,0.3,0.7,0.3,1,1,25,1,1
0,0,24019,0.3,0.7,0.3,1,1,26,1,1
0,0,24019,0.3,0.7,0.3,1,1,27,1,1
1,0,24019,0.3,0.7,0.3,0,1,28,1,1
0,0,24019,0.3,0.7,0.3,1,1,29,1,1
0,1,24019,0.3,0.7,0.3,1,1,30,1,1
1,0,24019,0.3,0.7,0.3,0,1,31,1,1
1,0,24019,0.3,0.7,0.3,0,1,32,1,1
0,1,24019,0.3,0.7,0.3,1,1,33,1,1
0,1,24019,0.3,0.7,0.3,1,1,34,1,1
0,1,24019,0.3,0.7,0.3,1,1,35,1,1
1,0,24019,0.3,0.7,0.3,0,1,36,1,1
0,0,24019,0.3,0.7,0.3,1,1,37,1,1
0,1,24019,0.3,0.7,0.3,0,1,38,1,1
0,0,24019,0.3,0.7,0.3,0,1,39,1,1
0,1,24019,0.3,0.7,0.3,1,1,40,1,1
0,1,24019,0.3,0.7,0.3,1,1,41,1,1
1,0,24019,0.3,0.7,0.3,0,1,42,1,1
1,0,24019,0.3,0.7,0.3,1,1,43,1,1
0,0,24019,0.3,0.7,0.3,0,1,44,1,1
0,1,24019,0.3,0.7,0.3,1,1,45,1,1
1,0,24019,0.3,0.7,0.3,0,1,46,1,1
1,0,24019,0.3,0.7,0.3,0,1,47,1,1
0,0,24019,0.3,0.7,0.3,1,1,48,1,1
1,0,24019,0.3,0.7,0.3,0,1,49,1,1
1,0,24019,0.3,0.7,0.3,0,1,50,1,1
1,0,24019,0.3,0.7,0.3,0,2,1,3,1
1,0,24019,0.3,0.7,0.3,0,2,2,3,1
1,0,24019,0.3,0.7,0.3,0,2,3,3,1
0,1,24019,0.3,0.7,0.3,1,2,4,3,1
0,1,24019,0.3,0.7,0.3,1,2,5,3,1
1,0,24019,0.3,0.7,0.3,0,2,6,3,1
0,0,24019,0.3,0.7,0.3,0,2,7,3,1
1,0,24019,0.3,0.7,0.3,1,2,8,3,1
1,0,24019,0.3,0.7,0.3,1,2,9,3,1
0,0,24019,0.3,0.7,0.3,0,2,10,3,1
1,0,24019,0.3,0.7,0.3,1,2,11,3,1
1,0,24019,0.3,0.7,0.3,1,2,12,3,1
1,0,24019,0.3,0.7,0.3,1,2,13,3,1
1,0,24019,0.3,0.7,0.3,1,2,14,3,1
1,0,24019,0.3,0.7,0.3,1,2,15,3,1
1,1,24019,0.3,0.7,0.3,1,2,16,3,1
0,1,24019,0.3,0.7,0.3,0,2,17,3,1
1,0,24019,0.3,0.7,0.3,1,2,18,3,1
0,1,24019,0.3,0.7,0.3,1,2,19,3,1
0,1,24019,0.3,0.7,0.3,0,2,20,3,1
0,1,24019,0.3,0.7,0.3,0,2,21,3,1
1,0,24019,0.3,0.7,0.3,1,2,22,3,1
0,0,24019,0.3,0.7,0.3,0,2,23,3,1
1,0,24019,0.3,0.7,0.3,1,2,24,3,1
1,0,24019,0.3,0.7,0.3,1,2,25,3,1
1,0,24019,0.3,0.7,0.3,1,2,26,3,1
1,0,24019,0.3,0.7,0.3,1,2,27,3,1
1,1,24019,0.3,0.7,0.3,1,2,28,3,1
0,0,24019,0.3,0.7,0.3,0,2,29,3,1
1,1,24019,0.3,0.7,0.3,1,2,30,3,1
1,0,24019,0.3,0.7,0.3,1,2,31,3,1
0,0,24019,0.3,0.7,0.3,0,2,32,3,1
0,1,24019,0.3,0.7,0.3,0,2,33,3,1
1,0,24019,0.3,0.7,0.3,1,2,34,3,1
0,0,24019,0.3,0.7,0.3,0,2,35,3,1
1,0,24019,0.3,0.7,0.3,1,2,36,3,1
1,0,24019,0.3,0.7,0.3,1,2,37,3,1
